filename,psnr,ssim,mse,mae,lpips,inference_time,ir_path,pred_path,gt_path
tile_0000.png,29.750850677490234,0.6829405,0.001059046946465969,0.022249579429626465,0.2766804099082947,0.3430798053741455,data/ir\tile_0000.png,outputs/predictions\tile_0000.png,data/rgb\tile_0000.png
tile_0001.png,26.585329055786133,0.63793784,0.002195165492594242,0.0343310721218586,0.41460829973220825,0.005995988845825195,data/ir\tile_0001.png,outputs/predictions\tile_0001.png,data/rgb\tile_0001.png
tile_0002.png,29.22236442565918,0.7171208,0.001196089549921453,0.022946011275053024,0.3026268780231476,0.005997896194458008,data/ir\tile_0002.png,outputs/predictions\tile_0002.png,data/rgb\tile_0002.png
tile_0003.png,25.934528350830078,0.47251663,0.002550040604546666,0.03662113845348358,0.4066407084465027,0.0059947967529296875,data/ir\tile_0003.png,outputs/predictions\tile_0003.png,data/rgb\tile_0003.png
tile_0004.png,24.77481460571289,0.50377756,0.0033305722754448652,0.04131799563765526,0.40442439913749695,0.005637645721435547,data/ir\tile_0004.png,outputs/predictions\tile_0004.png,data/rgb\tile_0004.png
tile_0005.png,24.795944213867188,0.4210415,0.003314405679702759,0.04581184685230255,0.3439416289329529,0.0059947967529296875,data/ir\tile_0005.png,outputs/predictions\tile_0005.png,data/rgb\tile_0005.png
tile_0006.png,29.03099822998047,0.7057552,0.001249972265213728,0.02463623695075512,0.25432124733924866,0.00750732421875,data/ir\tile_0006.png,outputs/predictions\tile_0006.png,data/rgb\tile_0006.png
tile_0007.png,26.810890197753906,0.3523221,0.0020840640645474195,0.03327498957514763,0.37862300872802734,0.007999658584594727,data/ir\tile_0007.png,outputs/predictions\tile_0007.png,data/rgb\tile_0007.png
tile_0008.png,31.610002517700195,0.66581863,0.0006902393652126193,0.0189118180423975,0.26966387033462524,0.004997968673706055,data/ir\tile_0008.png,outputs/predictions\tile_0008.png,data/rgb\tile_0008.png
tile_0009.png,40.75736618041992,0.7096376,8.399693615501747e-05,0.007196917664259672,0.08815111219882965,0.003996610641479492,data/ir\tile_0009.png,outputs/predictions\tile_0009.png,data/rgb\tile_0009.png
tile_0010.png,33.105552673339844,0.68064857,0.0004891533171758056,0.019086364656686783,0.16342151165008545,0.006250619888305664,data/ir\tile_0010.png,outputs/predictions\tile_0010.png,data/rgb\tile_0010.png
